gene_symbol	transcript_id_versioned	manifest_transcriptTypes_literal	strand	txStart_0based	txEnd_exclusive	cdsStart	cdsEnd	positive_CDS_span	source_distance_anchor
HLA-C	ENST00000466892.5	protein_coding	-	31268748	31269666	31268748	31268748	False	31269666
HLA-C	ENST00000470363.5	protein_coding	-	31268748	31270422	31268748	31268748	False	31270422
HLA-C	ENST00000484378.1	protein_coding	-	31271098	31272090	31271098	31271098	False	31272090
HLA-C	ENST00000487245.5	protein_coding	-	31268748	31272050	31268748	31268748	False	31272050
HLA-C	ENST00000495835.1	protein_coding	-	31270220	31272130	31270220	31270220	False	31272130
PSMB8	ENST00000374881.3	protein_coding	-	32840716	32844679	32840958	32844413	True	32844679
PSMB8	ENST00000374882.8	protein_coding	-	32840716	32844047	32840958	32843996	True	32844047
PSMB8	ENST00000395339.7	protein_coding	-	32840716	32844020	32840958	32843996	True	32844020
PSMB8	ENST00000484003.1	protein_coding	-	32841020	32844651	32841020	32841020	False	32844651
PSMB8	ENST00000490613.1	protein_coding	-	32840716	32842034	32840716	32840716	False	32842034
PSMB8	ENST00000650411.1	protein_coding	-	32840737	32844557	32840737	32840737	False	32844557
PSMB8	ENST00000650793.1	protein_coding	-	32841922	32844017	32841922	32841922	False	32844017
PSMB9	ENST00000374859.3	protein_coding	+	32854191	32859851	32854229	32859532	True	32854191
PSMB9	ENST00000395330.5	protein_coding	+	32844135	32859585	32856146	32859532	True	32844135
PSMB9	ENST00000414474.5	protein_coding	+	32844835	32858437	32856146	32858437	True	32844835
PSMB9	ENST00000464863.1	protein_coding	+	32854147	32858900	32854147	32854147	False	32854147
PSMB9	ENST00000467593.1	protein_coding	+	32856096	32858722	32856096	32856096	False	32856096
TAP1	ENST00000354258.4	protein_coding	-	32845208	32853978	32845578	32853816	True	32853978
TAP1	ENST00000486332.1	protein_coding	-	32845208	32850142	32845208	32845208	False	32850142
TAP1	ENST00000487296.1	protein_coding	-	32845674	32848230	32845674	32845674	False	32848230
TAP1	ENST00000643049.1	protein_coding	-	32845231	32853816	32845578	32853816	True	32853816
TAP1	ENST00000643923.1	protein_coding	-	32845269	32853014	32845269	32845269	False	32853014
TAP1	ENST00000645078.1	protein_coding	-	32845250	32852787	32845250	32845250	False	32852787
TAP2	ENST00000374897.4	protein_coding	-	32825414	32838739	32828905	32838233	True	32838739
TAP2	ENST00000464100.1	protein_coding	-	32828943	32830727	32828943	32828943	False	32830727
TAP2	ENST00000485701.1	protein_coding	-	32832294	32832733	32832294	32832294	False	32832733
TAP2	ENST00000620123.4	protein_coding	-	32825409	32838770	32828854	32838233	True	32838770
TAP2	ENST00000652259.1	protein_coding	-	32821832	32838739	32822288	32838233	True	32838739
